0.000000 0.000000 0.000000
0.000199 0.000182 0.000202
0.000788 0.000734 0.000799
0.001760 0.001659 0.001796
0.003112 0.002948 0.003179
0.004832 0.004593 0.004950
0.006918 0.006603 0.007093
0.009379 0.008977 0.009600
0.012213 0.011696 0.012474
0.015405 0.014777 0.015715
0.018957 0.018206 0.019290
0.022902 0.021958 0.023218
0.027225 0.026027 0.027473
0.031859 0.030414 0.032067
0.036871 0.035148 0.036994
0.042254 0.040226 0.042278
0.047924 0.045598 0.047949
0.053921 0.051316 0.053973
0.060259 0.057404 0.060361
0.066948 0.063784 0.067113
0.074002 0.070467 0.074212
0.081384 0.077473 0.081607
0.089143 0.084765 0.089332
0.097192 0.092339 0.097390
0.105565 0.100191 0.105787
0.114248 0.108341 0.114456
0.123266 0.116821 0.123435
0.132626 0.125564 0.132733
0.142291 0.134652 0.142345
0.152211 0.144031 0.152245
0.162401 0.153659 0.162484
0.173008 0.163572 0.173065
0.183943 0.173726 0.183916
0.195066 0.184185 0.195104
0.206489 0.194943 0.206501
0.218158 0.205928 0.218209
0.230048 0.217134 0.230183
0.242240 0.228523 0.242443
0.254646 0.240126 0.254956
0.267267 0.251950 0.267716
0.280143 0.264087 0.280822
0.293353 0.276484 0.294245
0.306828 0.289230 0.307942
0.320584 0.302314 0.321907
0.334704 0.315800 0.336307
0.349046 0.329490 0.350890
0.363613 0.343468 0.365836
0.378403 0.357665 0.381065
0.393410 0.372211 0.396482
0.408649 0.387036 0.412257
0.424164 0.402136 0.428182
0.439848 0.417452 0.444336
0.455732 0.432786 0.460871
0.471854 0.448339 0.477730
0.488105 0.464173 0.494797
0.504597 0.480260 0.512176
0.521287 0.496597 0.529798
0.538231 0.513152 0.547648
0.555261 0.530037 0.565819
0.572434 0.547124 0.584256
0.589837 0.564434 0.602999
0.607393 0.581987 0.621930
0.625128 0.599806 0.641090
0.643074 0.617915 0.660521
0.661190 0.636067 0.680187
0.679585 0.654378 0.700123
0.698277 0.672679 0.720274
0.717003 0.691161 0.740693
0.735692 0.709708 0.761420
0.754620 0.728502 0.782342
0.773659 0.747476 0.803534
0.792888 0.766714 0.824865
0.812324 0.786151 0.846285
0.831947 0.805842 0.867945
0.851947 0.825743 0.889747
0.872136 0.845703 0.911824
0.892532 0.865822 0.934265
0.913118 0.886182 0.957046
0.933915 0.906764 0.980011
0.954840 0.927645 1.002987
0.976151 0.948723 1.026363
0.997645 0.969950 1.049978
1.019337 0.991309 1.073689
1.041223 1.012887 1.097803
1.063279 1.034582 1.122093
1.085549 1.056496 1.146258
1.107955 1.078301 1.170630
1.130583 1.100220 1.195302
1.153341 1.122280 1.220382
1.176292 1.144287 1.245602
1.199484 1.166609 1.271108
1.222806 1.189030 1.296989
1.246394 1.211701 1.323019
1.270208 1.234479 1.349197
1.294363 1.257393 1.375719
1.318503 1.280566 1.402293
1.342565 1.303883 1.429220
1.366767 1.327133 1.456380
1.391067 1.350735 1.483555
1.415548 1.374312 1.510646
1.440156 1.398092 1.537833
1.464945 1.422005 1.565218
1.489920 1.446076 1.592769
1.515175 1.470396 1.620607
1.540629 1.494688 1.648765
1.566386 1.519146 1.676934
1.592246 1.543805 1.705306
1.618394 1.568597 1.733573
1.644786 1.593388 1.762037
1.671347 1.618172 1.790426
1.698235 1.642861 1.819238
1.725208 1.667756 1.848261
1.752458 1.692605 1.877416
1.779818 1.717341 1.907047
1.807197 1.742126 1.936699
1.834926 1.766975 1.966542
1.862707 1.791859 1.996687
1.890463 1.816855 2.026957
